Image File,road,sidewalk,building,wall,fence,pole,light,sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motocycle,bicycle
13780.jpg,17.56,2.21,9.64,0.14,1.65,0.35,0.01,0,15.63,1.5,49.62,0.4,0,1.26,0,0,0,0.02,0
13781.jpg,18.31,1.57,8.22,2.16,1.47,0.41,0,0,4.39,8.5,53.02,0.41,0.03,1.41,0.12,0,0,0,0
13782.jpg,17.37,1.54,4.38,2.81,3.22,0.3,0.01,0.01,2.93,9.79,55.67,0.72,0.02,1.21,0,0,0,0,0
13783.jpg,13.26,1.43,11.5,0,1.69,1.57,0,0.08,7.82,6.83,49.36,0.27,0.04,4.43,0,0,0,0.19,1.54
13784.jpg,17.89,3.62,10.75,0.48,1.63,1.07,0,0.01,12.9,1.32,49.16,0.18,0,0.89,0,0,0,0.07,0.03
13785.jpg,24.44,0.82,12.95,0.62,2.85,1.04,0.01,0.05,6.15,0.09,46.38,0.02,0.29,3.53,0.11,0,0,0.62,0.04
13786.jpg,24.44,0.82,12.95,0.62,2.85,1.04,0.01,0.05,6.15,0.09,46.38,0.02,0.29,3.53,0.11,0,0,0.62,0.04
13787.jpg,21.51,5.58,5.45,2.62,5.04,1.43,0.15,0.18,5.24,0.13,50.99,0.31,0,1.16,0.08,0.07,0,0,0.07
13788.jpg,26.26,1.23,8.04,2.9,3.37,0.87,0,0.13,4.13,0.02,49.98,0.22,0.16,1.97,0.71,0,0,0.01,0
13789.jpg,15.21,1.05,7.68,0.62,1.53,0.21,0,0,17.05,1.26,50.19,0.34,0.01,4.67,0,0,0,0.19,0
1378.jpg,29.22,0.38,0.68,1.44,0.69,0.25,0,0.01,3.74,0.07,59.46,0,0.01,3.93,0,0,0,0.11,0
13790.jpg,17.58,1.48,8.82,1.22,0.67,0.2,0,0,10.13,4.54,51.31,0.32,0,3.21,0,0.52,0,0,0
13791.jpg,17.65,1.87,3.78,6.05,1.37,0.2,0,0,2.32,10.65,55.3,0.32,0,0.47,0.02,0,0,0,0
13792.jpg,16.98,2.04,8.23,0.94,2.69,0.45,0,0,6.58,8.25,51.91,0.44,0,1.48,0,0,0,0,0
13793.jpg,18.51,0.9,9.27,0.3,1.31,0.23,0.01,0,9.99,7.37,49.82,0.2,0,2.06,0,0,0,0.03,0
13794.jpg,21.23,0.86,12.87,0.09,0.17,0.36,0,0,10.12,0.74,47.73,0.46,0.17,4.57,0.57,0.06,0,0,0
13795.jpg,26.26,1.23,8.04,2.9,3.37,0.87,0,0.13,4.13,0.02,49.98,0.22,0.16,1.97,0.71,0,0,0.01,0
13796.jpg,18.08,0.48,7.97,0.17,0.14,0.4,0.03,0.02,10.81,6.52,50.35,0.03,0,4.9,0.02,0,0,0.08,0
13797.jpg,18.46,4.44,4.78,2.46,2.79,0.85,0,0.02,9.3,3.27,51.9,0.13,0,1.38,0,0,0,0.17,0.03
13798.jpg,18.79,0.75,2.38,3.91,0.08,0.3,0,0.01,13.57,5.41,50.04,0.12,0,3.6,0.34,0,0,0.36,0.34
13799.jpg,7.71,2.61,8.24,2.54,2.12,0.82,0,0,13.24,2.52,36.31,0.03,0.01,21.76,0,0,0,0.56,1.52
1379.jpg,25.5,0.99,0.24,1.02,4.19,0.31,0.06,0.01,11.84,2.61,51.15,0.01,0,2.07,0,0,0,0.01,0
13800.jpg,18.79,0.75,2.38,3.91,0.08,0.3,0,0.01,13.57,5.41,50.04,0.12,0,3.6,0.34,0,0,0.36,0.34
13801.jpg,23.41,3.61,11.18,1.38,0.83,0.67,0.01,0,5.55,2.1,50.17,0.14,0.06,0.41,0,0,0,0.27,0.21
13802.jpg,22.07,1.74,2.78,2.17,0.12,0.63,0,0.18,17.18,5.64,46.63,0.04,0,0.64,0,0.07,0,0.06,0.07
13803.jpg,19.53,0.3,1.09,4.97,0.16,0.59,0,0.02,14.17,6.59,48.79,0.04,0.03,3.72,0,0,0,0,0.01
13804.jpg,18.79,0.75,2.38,3.91,0.08,0.3,0,0.01,13.57,5.41,50.04,0.12,0,3.6,0.34,0,0,0.36,0.34
13805.jpg,18.74,0.62,12.54,1.9,0.49,0.5,0,0,4.79,4.5,50.74,0.03,0,4.62,0.05,0.32,0,0.12,0.04
13806.jpg,17.77,0.25,9.94,0.85,1.01,0.18,0,0.06,9.03,5.51,50.03,0.01,0.01,4.99,0,0.05,0,0.32,0
13807.jpg,18.94,0.35,6.75,1.61,1.09,0.46,0,0,15.81,6.28,44.02,0,0,4.57,0,0,0,0.11,0.01
13808.jpg,15.76,3.05,10.9,1.72,1.18,0.2,0,0.01,15.78,0.63,41.79,0.02,0,8.1,0,0,0,0.14,0.71
13809.jpg,7.71,2.61,8.24,2.54,2.12,0.82,0,0,13.24,2.52,36.31,0.03,0.01,21.76,0,0,0,0.56,1.52
1380.jpg,28.32,0.45,0.49,2.01,3.65,0.17,0.01,0,9.14,0.16,54.13,0.01,0,1.43,0,0,0,0.01,0.03
13810.jpg,27.97,1.76,7.02,0.15,1.18,0.6,0.01,0.07,6.53,0,53.3,0,0,0.77,0,0,0,0.17,0.47
13811.jpg,20.96,3.9,12.75,0.16,1.27,0.21,0,0,5.64,0.04,49.49,0.01,0,5.18,0,0,0,0,0.39
13812.jpg,7.71,2.61,8.24,2.54,2.12,0.82,0,0,13.24,2.52,36.31,0.03,0.01,21.76,0,0,0,0.56,1.52
13813.jpg,7.71,2.61,8.24,2.54,2.12,0.82,0,0,13.24,2.52,36.31,0.03,0.01,21.76,0,0,0,0.56,1.52
13814.jpg,18.08,0.48,7.97,0.17,0.14,0.4,0.03,0.02,10.81,6.52,50.35,0.03,0,4.9,0.02,0,0,0.08,0
13815.jpg,18.68,0.28,10.11,2.22,2.98,0.42,0,0.16,9.89,4.68,46.46,0,0,3.91,0.08,0,0,0.12,0
13816.jpg,18.74,1.22,10.03,0.22,8.66,0.33,0,0,3.51,0.79,52.63,0,0,3.7,0,0,0,0.1,0.07
13817.jpg,17.72,0.95,15.83,4.94,0.94,0.25,0,0,2.98,0.04,52.02,0.01,0,3.98,0,0,0,0.31,0.02
13818.jpg,18.74,0.62,12.54,1.9,0.49,0.5,0,0,4.79,4.5,50.74,0.03,0,4.62,0.05,0.32,0,0.12,0.04
13819.jpg,17.72,0.95,15.83,4.94,0.94,0.25,0,0,2.98,0.04,52.02,0.01,0,3.98,0,0,0,0.31,0.02
1381.jpg,28.53,0.93,0.11,1.77,4.49,0.07,0,0,9.01,0.34,53.9,0,0.01,0.63,0,0.04,0,0.14,0.03
13820.jpg,13.06,2.9,8.87,8.27,0.27,0.22,0,0.08,11.58,4.16,43.25,0.07,0,7.04,0,0,0,0.1,0.14
13821.jpg,19.83,0.5,10.05,1.82,0.87,0.81,0.02,0,10.5,6.75,46.23,0.04,0,2.47,0,0,0,0.11,0
13822.jpg,18.74,0.62,12.54,1.9,0.49,0.5,0,0,4.79,4.5,50.74,0.03,0,4.62,0.05,0.32,0,0.12,0.04
13823.jpg,23.41,3.61,11.18,1.38,0.83,0.67,0.01,0,5.55,2.1,50.17,0.14,0.06,0.41,0,0,0,0.27,0.21
13824.jpg,23.41,3.61,11.18,1.38,0.83,0.67,0.01,0,5.55,2.1,50.17,0.14,0.06,0.41,0,0,0,0.27,0.21
13825.jpg,27.97,1.76,7.02,0.15,1.18,0.6,0.01,0.07,6.53,0,53.3,0,0,0.77,0,0,0,0.17,0.47
13826.jpg,23.41,3.61,11.18,1.38,0.83,0.67,0.01,0,5.55,2.1,50.17,0.14,0.06,0.41,0,0,0,0.27,0.21
13827.jpg,24.57,4.93,14.79,1.85,0.51,0.94,0.01,0,0.64,0,50.4,0.11,0.04,0.97,0,0,0,0.21,0.04
13828.jpg,24.57,4.93,14.79,1.85,0.51,0.94,0.01,0,0.64,0,50.4,0.11,0.04,0.97,0,0,0,0.21,0.04
1382.jpg,26.92,1.33,0.44,0.04,2.57,0.1,0,0.02,8.81,1.24,53.65,0.13,0,3.64,0.05,0.88,0,0.14,0.03
13836.jpg,30.25,1.21,2.32,0.01,0.28,0.82,0.04,0,9.43,2.16,52.52,0,0,0.94,0,0,0,0.03,0
13837.jpg,24.89,4.04,0.76,1.51,0.56,0.48,0.03,0.11,8.91,2.64,55.48,0.02,0,0.53,0,0,0,0.01,0.04
13838.jpg,17.44,0.66,0.66,0.03,8.4,0.36,0.09,0.5,7.86,1.86,55.45,0.04,0,6.63,0,0,0,0.04,0
13839.jpg,17.76,0.07,0.13,0.03,8.32,0.13,0.04,0.27,8.65,0.96,56,0,0,7.61,0,0,0,0.03,0
1383.jpg,30.02,0.93,0.43,0.24,3.23,0.12,0,0,8.97,0.6,53.99,0,0,1.38,0,0,0,0.07,0
13840.jpg,17.64,0.25,0.2,0.51,8.96,0.18,0.03,0,8.12,1.62,56.75,0,0,5.72,0,0,0,0,0
13841.jpg,19.75,0.07,0.12,0.48,9.33,0.17,0,0,7.33,2.12,57.48,0.01,0,3.14,0,0,0,0,0
13842.jpg,21.15,0.85,1.17,1.64,9,0.31,0,0,6.2,1.8,57.5,0,0,0.37,0,0,0,0.01,0
13843.jpg,31.49,1.76,2.45,1.78,1.6,0.55,0,0.03,2.46,0.82,56.76,0,0.01,0.26,0,0,0,0.03,0
13844.jpg,31.49,1.76,2.45,1.78,1.6,0.55,0,0.03,2.46,0.82,56.76,0,0.01,0.26,0,0,0,0.03,0
13845.jpg,5.7,0.87,0.14,0.35,0.07,0.22,0,0.01,22.16,20.69,44.8,0,0,4.93,0,0,0,0.03,0.01
13846.jpg,25.3,0.02,0.59,0,0.15,0.21,0,0.01,13.91,2.59,51.8,0,0,5.42,0,0,0,0,0
13847.jpg,12.43,2.92,2.43,0.04,0.01,0.28,0,0,29.35,8.56,37.54,0.01,0,6.39,0,0,0,0.02,0
13848.jpg,15.69,9.76,0.61,0.02,0.1,0.65,0,0.52,12.08,4.02,52.6,0.04,0,3.77,0,0,0,0.13,0
13849.jpg,20.47,1.28,1.43,0.05,0,0.15,0,0,17.27,5.47,48.11,0,0,5.74,0,0,0,0.03,0
